din_instante,val_cargaenergiahomwmed
2019-01-01,112520.18899991
2019-01-02,126046.25199991
2019-01-03,129839.10899991
2019-01-04,132109.80899994
2019-01-05,125951.98699990001
2019-01-06,118439.02099992
2019-01-07,125330.3519999
2019-01-08,123459.1869999
2019-01-09,126616.24399987
2019-01-10,124367.91899991
2019-01-11,124728.88799994
2019-01-12,121162.79099992
2019-01-13,117464.40399988
2019-01-14,124917.15399992
2019-01-15,125613.60799987
2019-01-16,129810.78599987
2019-01-17,131740.06299993
2019-01-18,133232.22899996
2019-01-19,125689.80499988
2019-01-20,118849.94599988
2019-01-21,127376.2539999
2019-01-22,128803.49199989
2019-01-23,131713.01499988
2019-01-24,135907.36999993
2019-01-25,134869.86099991
2019-01-26,129254.66199992
2019-01-27,119401.72899988
2019-01-28,132436.3199999
2019-01-29,135779.67499993
2019-01-30,135051.43599991
2019-01-31,133323.78399992
2019-02-01,132349.22299993
2019-02-02,123831.12499991
2019-02-03,121219.1399999
2019-02-04,135039.50599987
2019-02-05,132230.06499992
2019-02-06,133591.38099988
2019-02-07,131407.8939999
2019-02-08,130955.62399993
2019-02-09,127010.17799986
2019-02-10,120412.45399993
2019-02-11,132984.51699995
2019-02-12,136772.66799994
2019-02-13,137790.36799991
2019-02-14,135530.00699991
2019-02-15,135361.39699992
2019-02-16,136179.40299991
2019-02-17,123868.90699993
2019-02-18,135503.52999994
2019-02-19,131791.38699991
2019-02-20,136371.06099989
2019-02-21,138533.65499989
2019-02-22,136895.54299993
2019-02-23,129242.42999989999
2019-02-24,124524.4419999
2019-02-25,136285.11899993
2019-02-26,134709.8259999
2019-02-27,134475.10299988
2019-02-28,133602.81999989
2019-03-01,131415.93699989
2019-03-02,130903.2159999
2019-03-03,121461.32199994
2019-03-04,124836.66799992
2019-03-05,119680.33499992
2019-03-06,124477.55899990001
2019-03-07,132967.27599993
2019-03-08,134465.00599994
2019-03-09,129130.41899988
2019-03-10,123781.56999987
2019-03-11,130904.35999992
2019-03-12,127827.07099992
2019-03-13,131732.94199989
2019-03-14,135222.98599987
2019-03-15,133482.49099991
2019-03-16,130149.19899992
2019-03-17,125581.9219999
2019-03-18,139872.32199994
2019-03-19,139997.65499988
2019-03-20,140046.69499988
2019-03-21,137986.69699992
2019-03-22,135115.49499989
2019-03-23,128701.35299989
2019-03-24,121250.4119999
2019-03-25,128443.5669999
2019-03-26,130353.4239999
2019-03-27,133087.14299989
2019-03-28,132365.09199989
2019-03-29,128489.28399991
2019-03-30,126217.0659999
2019-03-31,120128.6299999
2019-04-01,128781.35099994
2019-04-02,131496.51799991
2019-04-03,133324.7249999
2019-04-04,131024.98699990001
2019-04-05,128093.7599999
2019-04-06,126042.23099993
2019-04-07,117070.45099994
2019-04-08,129366.20899989
2019-04-09,129641.21199992
2019-04-10,131913.19599992
2019-04-11,132756.5169999
2019-04-12,131679.41599993
2019-04-13,125714.65499992
2019-04-14,117547.43499992
2019-04-15,128241.48099987001
2019-04-16,130596.27799992
