din_instante,val_cargaenergiahomwmed
2019-01-01,222554.15799988
2019-01-02,254184.47299993
2019-01-03,265916.20199995
2019-01-04,270256.85799995
2019-01-05,258050.51399994
2019-01-06,237712.44799991001
2019-01-07,262153.21299993
2019-01-08,264248.23099992
2019-01-09,264001.91699997
2019-01-10,265858.94799997
2019-01-11,268036.65399994
2019-01-12,255979.35299994
2019-01-13,238298.44599995
2019-01-14,265716.61199997
2019-01-15,266847.74399994
2019-01-16,274016.21199996
2019-01-17,271940.75199995
2019-01-18,270856.47799997
2019-01-19,257735.98399994
2019-01-20,242160.43999992
2019-01-21,267406.79999993
2019-01-22,273994.17699995
2019-01-23,280632.63399995
2019-01-24,278396.16599994997
2019-01-25,277114.59799994
2019-01-26,261547.63399997
2019-01-27,237494.85999995001
2019-01-28,260681.75599993
2019-01-29,267914.28099996
2019-01-30,274476.11799995
2019-01-31,276395.57399993
2019-02-01,276251.76899994
2019-02-02,258850.92199991
2019-02-03,245693.32999994
2019-02-04,276051.21999997
2019-02-05,284050.26199996
2019-02-06,272743.47799994
2019-02-07,266724.14499997
2019-02-08,265732.34199993
2019-02-09,254266.66099995
2019-02-10,236210.44499992998
2019-02-11,266867.62699992
2019-02-12,274263.01299989
2019-02-13,277328.16899997
2019-02-14,279808.20299997
2019-02-15,282418.10999997
2019-02-16,264713.86699996
2019-02-17,244130.86199997
2019-02-18,275524.77599992
2019-02-19,279417.88299993
2019-02-20,280775.78199998
2019-02-21,282120.89799999
2019-02-22,278684.64199994
2019-02-23,262763.84699993
2019-02-24,244017.90799991
2019-02-25,277377.20899995
2019-02-26,283298.84399995
2019-02-27,282497.77899996
2019-02-28,280315.88999996
2019-03-01,276038.95299997
2019-03-02,255541.59599997
2019-03-03,235836.86199995
2019-03-04,232930.49999996
2019-03-05,228008.52399993
2019-03-06,244181.00499993
2019-03-07,266703.31299995
2019-03-08,273411.00599994
2019-03-09,257181.94399995
2019-03-10,242296.60199998
2019-03-11,276026.71199995
2019-03-12,276260.8279999
2019-03-13,279817.88099994
2019-03-14,279774.11799995
2019-03-15,275686.32599998
2019-03-16,256907.46899993
2019-03-17,244034.67099989
2019-03-18,276798.04299996
2019-03-19,280431.83699999
2019-03-20,286060.40699998
2019-03-21,281247.50899995
2019-03-22,274153.40599993
2019-03-23,254604.36499998
