din_instante,val_cargaenergiahomwmed
2019-01-01,235231.86299994
2019-01-02,303135.72099996
2019-01-03,317344.06199997
2019-01-04,290751.7019999
2019-01-05,253478.01799991
2019-01-06,237495.33299996
2019-01-07,302919.12999992
2019-01-08,314373.18999991
2019-01-09,319562.39299992
2019-01-10,322306.34599991
2019-01-11,311212.19399992
2019-01-12,268521.40199991
2019-01-13,240849.12999989
2019-01-14,322253.75001118
2019-01-15,336507.30902763
2019-01-16,339218.29802507
2019-01-17,340102.1590718
2019-01-18,322066.50095878
2019-01-19,266200.40099811
2019-01-20,227175.89099848
2019-01-21,312825.26000353
2019-01-22,337318.54900469
2019-01-23,352266.59399093
2019-01-24,340408.42601003
2019-01-25,331558.1869982
2019-01-26,289828.43297612
2019-01-27,258616.13897768
2019-01-28,343991.31999993
2019-01-29,366441.29197166
2019-01-30,375487.10699997
2019-01-31,369019.70899689
2019-02-01,358384.4689999
2019-02-02,294292.96199991
2019-02-03,237833.91199989
2019-02-04,292418.83099993
2019-02-05,298673.89899992
2019-02-06,305260.34399992
2019-02-07,317429.41599992
2019-02-08,331551.54599994
2019-02-09,301515.56499995
2019-02-10,267429.44299992
2019-02-11,331751.76299989
2019-02-12,311897.96499991
2019-02-13,298811.26999995
2019-02-14,306436.57399996
2019-02-15,297773.28899993
2019-02-16,249708.79999994
2019-02-17,218329.08499994
2019-02-18,294844.01599991
2019-02-19,311642.17899996
2019-02-20,321433.00099988
2019-02-21,323393.31499992
2019-02-22,329727.82199991
2019-02-23,302208.3439999
2019-02-24,262829.16199996
2019-02-25,303528.04199992
2019-02-26,286633.30199996
2019-02-27,282848.91399994
2019-02-28,289259.99599995
2019-03-01,296863.95299993
2019-03-02,264871.94099998
2019-03-03,235912.97199997
2019-03-04,288011.00599995
2019-03-05,299688.41999997
2019-03-06,323051.19299995
2019-03-07,320948.37699989
2019-03-08,316630.84099996
2019-03-09,256782.65899992
2019-03-10,215839.16599991
2019-03-11,280936.83299997
2019-03-12,292082.12199989
2019-03-13,299240.32199992
2019-03-14,301110.91399989
2019-03-15,300319.04099991
2019-03-16,259460.23499994
2019-03-17,217739.16799996
2019-03-18,287854.78699995
2019-03-19,297898.19299994
2019-03-20,290475.57999992
2019-03-21,278996.71099994
2019-03-22,276988.31999992
2019-03-23,242522.11399992
2019-03-24,216410.53499994
2019-03-25,287954.69999996
2019-03-26,289352.8269999
2019-03-27,288225.6029999
2019-03-28,290260.87099992
2019-03-29,293237.96599992
2019-03-30,254451.92399994002
2019-03-31,223669.47599991
2019-04-01,296997.18399995
2019-04-02,309518.14999996
2019-04-03,316489.90499993
2019-04-04,322934.45099987
2019-04-05,303886.57299993
2019-04-06,244410.67799989
2019-04-07,207233.37099997
2019-04-08,272927.90999999
2019-04-09,280622.92499994
2019-04-10,285106.79799996
2019-04-11,293204.34799988
2019-04-12,295261.62699995
2019-04-13,255481.21999997
2019-04-14,228253.74499991
2019-04-15,301963.16999992
2019-04-16,296126.7369999
2019-04-17,287630.57899989
2019-04-18,282663.70999993
2019-04-19,217763.68799992
2019-04-20,222901.58999997
2019-04-21,200422.14899994
2019-04-22,269873.11099989
2019-04-23,282228.64399993
2019-04-24,290482.71599993
2019-04-25,295673.11199993
2019-04-26,298291.59099989
2019-04-27,253156.69399994
2019-04-28,204359.68599994
2019-04-29,263231.98099993
2019-04-30,271089.81499994
2019-05-01,221452.05799996
2019-05-02,272398.0959999
2019-05-03,284740.9109999
2019-05-04,249058.64399994002
2019-05-05,221172.82899996
2019-05-06,287088.59199988
2019-05-07,280375.81099992
2019-05-08,279726.90099985
2019-05-09,280790.51099988
2019-05-10,281111.1739999
2019-05-11,236198.87399989
2019-05-12,195376.88799994
2019-05-13,259762.34499991
2019-05-14,264849.96299988
2019-05-15,264723.98699991
2019-05-16,267573.79799992
2019-05-17,267950.65999994
2019-05-18,230291.19599989
2019-05-19,199893.23499995
2019-05-20,267034.51699994
2019-05-21,275907.58199995
2019-05-22,277646.29399993
2019-05-23,274312.5169999
2019-05-24,267737.19399989
2019-05-25,224261.47599993
2019-05-26,192034.96799991
2019-05-27,258902.23299991
2019-05-28,268566.13799992
2019-05-29,270597.81499993
2019-05-30,272724.42899996
2019-05-31,270349.87699992
2019-06-01,229064.11399991
2019-06-02,197061.86799992
2019-06-03,257165.86099992
2019-06-04,262477.21799994
2019-06-05,264395.12299994
2019-06-06,265953.3000304
2019-06-07,265884.32199993
2019-06-08,229892.23199994
2019-06-09,200885.14499996
2019-06-10,261783.81599992
2019-06-11,272901.09399993
2019-06-12,276877.71004629
2019-06-13,279003.32499997
2019-06-14,281867.84199996
2019-06-15,244892.83299991
2019-06-16,211258.74899988
2019-06-17,275428.5579999
2019-06-18,282590.38999992
2019-06-19,278311.97099997
2019-06-20,231462.5039999
2019-06-21,247824.55899993
2019-06-22,225235.53299995
2019-06-23,201393.02199997
2019-06-24,270007.65999996
2019-06-25,278510.89499993
2019-06-26,276530.53299992
2019-06-27,273411.68299995
2019-06-28,273998.74299994
2019-06-29,239031.64599993
2019-06-30,206696.56299993
2019-07-01,267219.60699991003
2019-07-02,273349.33799993
2019-07-03,272456.69899995
2019-07-04,274833.05699994
2019-07-05,274048.86899994
2019-07-06,230465.18899993
2019-07-07,202175.56699991
2019-07-08,264980.42599997
2019-07-09,271417.86699999
2019-07-10,269270.05199993
2019-07-11,267494.69799993
2019-07-12,263956.73199994
2019-07-13,226670.8939999
2019-07-14,201576.36199994
2019-07-15,267113.07699996
2019-07-16,274367.95799993
2019-07-17,275494.62499993
2019-07-18,272689.51299996
2019-07-19,270017.13399991
2019-07-20,227162.23999993
2019-07-21,198817.26799992
2019-07-22,264891.17699992
2019-07-23,275390.39299995
2019-07-24,279074.51099994
2019-07-25,275955.50499996
2019-07-26,273526.51599994
2019-07-27,234484.65099989
2019-07-28,201638.39699992
2019-07-29,263594.23199997
2019-07-30,273388.58499993
2019-07-31,272680.88399994
2019-08-01,272960.12599992
2019-08-02,273925.91699994
2019-08-03,228004.86099989
2019-08-04,198140.26999993
2019-08-05,264357.40399991
2019-08-06,273470.34299991
2019-08-07,278765.59999997
2019-08-08,281632.02499996
