din_instante,val_cargaenergiahomwmed
2019-01-01,742053.58999988
2019-01-02,912790.77099989
2019-01-03,984945.98799992
2019-01-04,990939.66399994
2019-01-05,897085.51799988
2019-01-06,833942.96999987
2019-01-07,1003124.33699989
2019-01-08,1049099.7709999
2019-01-09,1058673.69699988
2019-01-10,1061839.49699985
2019-01-11,1051962.15699992
2019-01-12,966632.19099992
2019-01-13,879273.25499991
2019-01-14,1048248.13099986
2019-01-15,1078361.44799989
2019-01-16,1094530.30099988
2019-01-17,1084943.34299985
2019-01-18,1086076.7469999
2019-01-19,990552.9739999
2019-01-20,911455.12699985
2019-01-21,1081060.75099987
2019-01-22,1120374.98399986
2019-01-23,1120809.71399989
2019-01-24,1106862.52999992
2019-01-25,1048372.45299987
2019-01-26,924033.89899992
2019-01-27,852660.9989999
2019-01-28,1042199.13499992
2019-01-29,1095840.5609999099
2019-01-30,1111900.04499992
2019-01-31,1116995.54299994
2019-02-01,1118982.68799989
2019-02-02,1029603.67099992
2019-02-03,935564.3399999
2019-02-04,1029921.51999991
2019-02-05,993358.23599989
2019-02-06,964722.5319999
2019-02-07,953609.61699989
2019-02-08,987082.78499993
2019-02-09,919940.5329998899
2019-02-10,866309.61999995
2019-02-11,1049340.63799994
2019-02-12,1069313.09599988
2019-02-13,998982.4069999
2019-02-14,966959.74299989
2019-02-15,965274.39099992
2019-02-16,883270.06399992
2019-02-17,800997.5199999
2019-02-18,956693.21599988
2019-02-19,986815.7229999
2019-02-20,997015.06199992
2019-02-21,986367.62699989
2019-02-22,1005572.7709998899
2019-02-23,946367.78599986
2019-02-24,890359.1639999
2019-02-25,1043941.16799995
2019-02-26,1004754.73999991
2019-02-27,999630.55799992
2019-02-28,982362.50099988
2019-03-01,961602.91199988
2019-03-02,866673.84199989
2019-03-03,785627.4519999
2019-03-04,838064.66399979
2019-03-05,851537.21299989
2019-03-06,952815.81499986
2019-03-07,1009985.34599992
2019-03-08,1026775.4669999001
2019-03-09,964896.12799982
2019-03-10,872380.26299983
